PeakID (cmd=annotatePeaks.pl consensus_peaks.mLb.clN.bed mm10_reduced_chr18_chr19.fa -gid -gtf mm10.reduced.refGene.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_3902	chr19	8944105	8944380	+	0	NA	intron (Mta2, intron 3 of 17)	-intron (Mta2, intron 3 of 17)	2322	Mta2	Mta2	NM_011842			Mta2			NA
Interval_4969	chr19	36328751	36329018	+	0	NA	Intergenic	Intergenic	-50183	Pcgf5	Pcgf5	NM_001368691			Pcgf5			NA
Interval_843	chr18	25504575	25505547	+	0	NA	intron (Celf4, intron 3 of 13)	-intron (Celf4, intron 3 of 12)	249096	Celf4	Celf4	NM_001362278			Celf4			NA
Interval_3480	chr19	3800636	3800841	+	0	NA	intron (Kmt5b, intron 5 of 10)	-intron (Kmt5b, intron 9 of 13)	33317	Kmt5b	Kmt5b	NM_001167886			Kmt5b			NA
Interval_3082	chr18	80384313	80384867	+	0	NA	Intergenic	Intergenic	-20336	Kcng2	Kcng2	NM_001190373			Kcng2			NA
Interval_5345	chr19	43939587	43940515	+	0	NA	intron (Dnmbp, intron 1 of 15)	-intron (Dnmbp, intron 1 of 15)	147	Dnmbp	Dnmbp	NM_028029			Dnmbp			NA
Interval_2815	chr18	75385954	75386637	+	0	NA	intron (Smad7, intron 3 of 3)	-intron (Smad7, intron 3 of 3)	18930	Smad7	Smad7	NM_001042660			Smad7			NA
Interval_3195	chr18	82685390	82685683	+	0	NA	intron (Zfp236, intron 1 of 29)	-intron (Zfp236, intron 1 of 30)	7379	Zfp236	Zfp236	NM_177832			Zfp236			NA
Interval_3543	chr19	4301857	4302419	+	0	NA	intron (Grk2, intron 1 of 20)	-intron (Grk2, intron 1 of 20)	4084	Grk2	Grk2	NM_130863			Grk2			NA
Interval_366	chr18	11939749	11940156	+	0	NA	intron (Cables1, intron 7 of 8)	-intron (Cables1, intron 8 of 9)	-99514	Mir1901	Mir1901	NR_035447			Mir1901			NA
Interval_3856	chr19	8553230	8553808	+	0	NA	Intergenic	Intergenic	-37735	Slc22a8	Slc22a8	NM_031194			Slc22a8			NA
Interval_2774	chr18	74940163	74940908	+	0	NA	exon (Lipg, exon 10 of 10)	-exon (Lipg, exon 10 of 10)	20728	Lipg	Lipg	NM_010720			Lipg			NA
Interval_5913	chr19	55206910	55207946	+	0	NA	intron (Gucy2g, intron 4 of 8)	-intron (Gucy2g, intron 16 of 20)	10144	Gucy2g	Gucy2g	NM_001081076			Gucy2g			NA
Interval_2436	chr18	66984238	66984649	+	0	NA	Intergenic	Intergenic	-34482	Gm19784	Gm19784	NR_040461			Gm19784			NA
Interval_4623	chr19	27581988	27582551	+	0	NA	Intergenic	Intergenic	152232	C030016D13Rik	C030016D13Rik	NR_027987			C030016D13Rik			NA
Interval_3481	chr19	3813644	3813862	+	0	NA	intron (Kmt5b, intron 11 of 11)	-intron (Kmt5b, intron 12 of 12)	37063	Gm51271	Gm51271	NR_162795			Gm51271			NA
Interval_254	chr18	9211832	9214411	+	0	NA	exon (Fzd8, exon 1 of 1)	-exon (Fzd8, exon 1 of 1)	265	Fzd8	Fzd8	NM_008058			Fzd8			NA
Interval_1468	chr18	43207193	43207892	+	0	NA	promoter-TSS (Stk32a)	-promoter-TSS (Stk32a)	-155	Stk32a	Stk32a	NM_178749			Stk32a			NA
Interval_3813	chr19	7205607	7206717	+	0	NA	intron (Otub1, intron 1 of 6)	-intron (Otub1, intron 1 of 6)	122	Otub1	Otub1	NM_134150			Otub1			NA
Interval_938	chr18	31217552	31218368	+	0	NA	intron (Rit2, intron 2 of 4)	-intron (Rit2, intron 2 of 4)	99168	Rit2	Rit2	NM_009065			Rit2			NA
Interval_3911	chr19	8997638	8998221	+	0	NA	intron (Ahnak, intron 1 of 6)	-intron (Ahnak, intron 1 of 5)	8645	Ahnak	Ahnak	NM_001039959			Ahnak			NA
Interval_3058	chr18	80178323	80178953	+	0	NA	Intergenic	Intergenic	-7601	LOC105246506	LOC105246506	NR_131039			LOC105246506			NA
Interval_6040	chr19	56891308	56891699	+	0	NA	intron (Vwa2, intron 4 of 13)	-intron (Vwa2, intron 4 of 13)	17087	Vwa2	Vwa2	NM_172840			Vwa2			NA
Interval_6037	chr19	56857924	56858216	+	0	NA	intron (Tdrd1, intron 18 of 25)	-intron (Tdrd1, intron 18 of 25)	-16346	Vwa2	Vwa2	NM_172840			Vwa2			NA
Interval_4645	chr19	28560693	28561642	+	0	NA	intron (Glis3, intron 2 of 10)	-intron (Glis3, intron 2 of 9)	-117057	D930032P07Rik	D930032P07Rik	NR_045330			D930032P07Rik			NA
Interval_3217	chr18	82901993	82903208	+	0	NA	Intergenic	Intergenic	-8279	Zfp516	Zfp516	NM_183033			Zfp516			NA
Interval_3179	chr18	82569664	82569913	+	0	NA	intron (Mbp, intron 2 of 5)	-intron (Mbp, intron 2 of 6)	94665	Mbp	Mbp	NM_001025245			Mbp			NA
Interval_4249	chr19	17412884	17413328	+	0	NA	Intergenic	Intergenic	19063	Rfk	Rfk	NM_019437			Rfk			NA
Interval_4113	chr19	12833387	12833994	+	0	NA	exon (Lpxn, exon 9 of 9)	-exon (Lpxn, exon 9 of 9)	-28087	Olfr1444	Olfr1444	NM_146702			Olfr1444			NA
Interval_1283	chr18	38105015	38105242	+	0	NA	Intergenic	Intergenic	104634	Pcdh1	Pcdh1	NM_029357			Pcdh1			NA
Interval_1290	chr18	38190544	38191157	+	0	NA	Intergenic	Intergenic	18912	Pcdh1	Pcdh1	NM_029357			Pcdh1			NA
Interval_779	chr18	24158671	24159502	+	0	NA	Intergenic	Intergenic	-37267	Ino80c	Ino80c	NM_172625			Ino80c			NA
Interval_2487	chr18	67768396	67768818	+	0	NA	Intergenic	Intergenic	-6269	Seh1l	Seh1l	NM_001039088			Seh1l			NA
Interval_883	chr18	26496004	26496807	+	0	NA	Intergenic	Intergenic	-742248	Celf4	Celf4	NM_001362278			Celf4			NA
Interval_5201	chr19	41597434	41597697	+	0	NA	Intergenic	Intergenic	8914	Mir8091	Mir8091	NR_106166			Mir8091			NA
Interval_423	chr18	12868590	12869580	+	0	NA	intron (Osbpl1a, intron 15 of 27)	-intron (Osbpl1a, intron 2 of 14)	-49178	Osbpl1a	Osbpl1a	NR_045524			Osbpl1a			NA
Interval_5471	chr19	45548108	45548829	+	0	NA	Intergenic	Intergenic	12096	Poll	Poll	NM_001330506			Poll			NA
Interval_146	chr18	5835600	5836211	+	0	NA	Intergenic	Intergenic	-243468	Gm10125	Gm10125	NR_033552			Gm10125			NA
Interval_2971	chr18	77879197	77880405	+	0	NA	intron (Pstpip2, intron 14 of 14)	-intron (Pstpip2, intron 14 of 14)	-58665	Epg5	Epg5	NM_001195633			Epg5			NA
Interval_3103	chr18	80724192	80724646	+	0	NA	Intergenic	Intergenic	-11348	Nfatc1	Nfatc1	NM_198429			Nfatc1			NA
Interval_668	chr18	21459810	21460056	+	0	NA	Intergenic	Intergenic	-159794	Garem1	Garem1	NM_001033445			Garem1			NA
Interval_5747	chr19	52534804	52535031	+	0	NA	Intergenic	Intergenic	270620	Ins1	Ins1	NM_008386			Ins1			NA
Interval_4504	chr19	24673486	24674170	+	0	NA	promoter-TSS (Tmem252)	-promoter-TSS (Tmem252)	-180	Tmem252	Tmem252	NM_183160			Tmem252			NA
Interval_3697	chr19	5966664	5968063	+	0	NA	Intergenic	Intergenic	-3157	Pola2	Pola2	NM_008893			Pola2			NA
Interval_1225	chr18	36706693	36707234	+	0	NA	Intergenic	Intergenic	-11038	E230025N22Rik	E230025N22Rik	NM_172831			E230025N22Rik			NA
Interval_1506	chr18	44454392	44454863	+	0	NA	intron (Mcc, intron 12 of 16)	-intron (Mcc, intron 14 of 18)	74127	Dcp2	Dcp2	NM_027490			Dcp2			NA
Interval_3192	chr18	82666184	82666886	+	0	NA	intron (Zfp236, intron 6 of 30)	-intron (Zfp236, intron 6 of 30)	26380	Zfp236	Zfp236	NM_177832			Zfp236			NA
Interval_5562	chr19	46562124	46562607	+	0	NA	intron (Arl3, intron 1 of 5)	-intron (Arl3, intron 1 of 6)	10817	Arl3	Arl3	NM_001355233			Arl3			NA
Interval_3969	chr19	10266316	10267443	+	0	NA	intron (Dagla, intron 5 of 19)	-intron (Dagla, intron 5 of 19)	-26131	Myrf	Myrf	NM_001033481			Myrf			NA
Interval_2556	chr18	69270592	69270963	+	0	NA	Intergenic	Intergenic	-73715	Tcf4	Tcf4	NM_001361126			Tcf4			NA
Interval_4758	chr19	30379453	30380148	+	0	NA	Intergenic	Intergenic	146872	Mbl2	Mbl2	NM_001365058			Mbl2			NA
Interval_662	chr18	21306178	21306409	+	0	NA	Intergenic	Intergenic	-6154	Garem1	Garem1	NM_001033445			Garem1			NA
Interval_4141	chr19	14785487	14786157	+	0	NA	Intergenic	Intergenic	-187639	Tle4	Tle4	NM_001302947			Tle4			NA
Interval_4552	chr19	25399586	25400729	+	0	NA	intron (Kank1, intron 4 of 13)	-intron (Kank1, intron 4 of 12)	-105549	Dmrt1	Dmrt1	NM_015826			Dmrt1			NA
Interval_703	chr18	22343294	22345136	+	0	NA	promoter-TSS (Asxl3)	-promoter-TSS (Asxl3)	-874	Asxl3	Asxl3	NM_001167777			Asxl3			NA
Interval_777	chr18	24120784	24122352	+	0	NA	intron (Ino80c, intron 1 of 4)	-intron (Ino80c, intron 1 of 4)	251	Ino80c	Ino80c	NM_172625			Ino80c			NA
Interval_191	chr18	7003570	7005209	+	0	NA	intron (Mkx, intron 1 of 6)	-intron (Mkx, intron 1 of 6)	390	Mkx	Mkx	NM_177595			Mkx			NA
Interval_1959	chr18	57522796	57523148	+	0	NA	intron (1700066O22Rik, intron 1 of 1)	-intron (1700066O22Rik, intron 1 of 1)	10780	1700066O22Rik	1700066O22Rik	NR_015541			1700066O22Rik			NA
Interval_1557	chr18	46355737	46355966	+	0	NA	Intergenic	Intergenic	-43923	Ccdc112	Ccdc112	NM_001160399			Ccdc112			NA
Interval_4234	chr19	17263859	17264263	+	0	NA	Intergenic	Intergenic	92606	Gcnt1	Gcnt1	NM_173442			Gcnt1			NA
Interval_3083	chr18	80390670	80391103	+	0	NA	Intergenic	Intergenic	-26632	Kcng2	Kcng2	NM_001190373			Kcng2			NA
Interval_2535	chr18	68679007	68679261	+	0	NA	Intergenic	Intergenic	-60266	Mir6356	Mir6356	NR_105774			Mir6356			NA
Interval_573	chr18	17390785	17391365	+	0	NA	Intergenic	Intergenic	-155593	4921533I20Rik	4921533I20Rik	NR_033607			4921533I20Rik			NA
Interval_3958	chr19	10191226	10191528	+	0	NA	promoter-TSS (Mir6993)	-promoter-TSS (Mir6993)	2	Mir6993	Mir6993	NR_105959			Mir6993			NA
Interval_3573	chr19	4719101	4719748	+	0	NA	intron (Sptbn2, intron 2 of 36)	-intron (Sptbn2, intron 2 of 36)	8216	Sptbn2	Sptbn2	NM_021287			Sptbn2			NA
Interval_6081	chr19	57436336	57437302	+	0	NA	Intergenic	Intergenic	-16087	Trub1	Trub1	NM_028115			Trub1			NA
Interval_3663	chr19	5746831	5747311	+	0	NA	intron (Ltbp3, intron 7 of 27)	-intron (Ltbp3, intron 7 of 27)	6171	Ltbp3	Ltbp3	NM_008520			Ltbp3			NA
Interval_2009	chr18	58561772	58562147	+	0	NA	intron (Slc27a6, intron 1 of 9)	-intron (Slc27a6, intron 1 of 9)	5719	Slc27a6	Slc27a6	NM_001081072			Slc27a6			NA
Interval_5640	chr19	47427828	47429069	+	0	NA	intron (Sh3pxd2a, intron 1 of 14)	-intron (Sh3pxd2a, intron 1 of 13)	35963	Sh3pxd2a	Sh3pxd2a	NM_001164717			Sh3pxd2a			NA
Interval_634	chr18	21047379	21047964	+	0	NA	Intergenic	Intergenic	-24673	Mep1b	Mep1b	NM_008586			Mep1b			NA
Interval_6115	chr19	57988669	57988995	+	0	NA	intron (Atrnl1, intron 27 of 28)	-intron (Atrnl1, intron 27 of 28)	-62335	Mir5623	Mir5623	NR_049196			Mir5623			NA
Interval_1060	chr18	34330602	34331549	+	0	NA	promoter-TSS (Srp19)	-promoter-TSS (Srp19)	-70	Srp19	Srp19	NM_025527			Srp19			NA
Interval_3970	chr19	10272753	10273227	+	0	NA	intron (Dagla, intron 1 of 19)	-intron (Dagla, intron 1 of 19)	31887	Dagla	Dagla	NM_198114			Dagla			NA
Interval_4122	chr19	14314348	14314575	+	0	NA	Intergenic	Intergenic	121489	Gm8630	Gm8630	NR_152176			Gm8630			NA
Interval_3830	chr19	7401299	7401540	+	0	NA	Intergenic	Intergenic	-16206	2700081O15Rik	2700081O15Rik	NM_175381			2700081O15Rik			NA
Interval_3668	chr19	5798742	5799286	+	0	NA	exon (Malat1, exon 1 of 1)	-exon (Malat1, exon 1 of 1)	-3033	Mascrna	Mascrna	NR_144621			Mascrna			NA
Interval_2644	chr18	70697460	70698289	+	0	NA	Intergenic	Intergenic	129582	Mbd2	Mbd2	NM_001311071			Mbd2			NA
Interval_2821	chr18	75405135	75406143	+	0	NA	Intergenic	Intergenic	38274	Smad7	Smad7	NM_001042660			Smad7			NA
Interval_1127	chr18	35285875	35286114	+	0	NA	intron (Sil1, intron 7 of 9)	-intron (Sil1, intron 7 of 9)	-70970	Lrrtm2	Lrrtm2	NM_178005			Lrrtm2			NA
Interval_2385	chr18	65965229	65965556	+	0	NA	intron (Cplx4, intron 2 of 2)	-intron (Cplx4, intron 2 of 2)	4786	Cplx4	Cplx4	NM_145493			Cplx4			NA
Interval_292	chr18	10253744	10253995	+	0	NA	Intergenic	Intergenic	-71310	Greb1l	Greb1l	NM_001083628			Greb1l			NA
Interval_3785	chr19	7020483	7020667	+	0	NA	TTS (Stip1)	-TTS (Stip1)	-1106	Fermt3	Fermt3	NM_001362399			Fermt3			NA
Interval_4034	chr19	10907676	10908074	+	0	NA	exon (Prpf19, exon 16 of 16)	-exon (Prpf19, exon 16 of 16)	12644	Prpf19	Prpf19	NM_134129			Prpf19			NA
Interval_4349	chr19	21107399	21108230	+	0	NA	Intergenic	Intergenic	3104	4930554I06Rik	4930554I06Rik	NR_126458			4930554I06Rik			NA
Interval_2721	chr18	74002023	74002600	+	0	NA	intron (Mapk4, intron 1 of 5)	-intron (Mapk4, intron 1 of 5)	-15596	D730045A05Rik	D730045A05Rik	NR_045390			D730045A05Rik			NA
Interval_641	chr18	21162380	21162767	+	0	NA	intron (Garem1, intron 3 of 5)	-intron (Garem1, intron 3 of 5)	90229	Mep1b	Mep1b	NM_008586			Mep1b			NA
Interval_949	chr18	31683009	31683452	+	0	NA	intron (Sap130, intron 14 of 20)	-intron (Sap130, intron 14 of 20)	48862	Sap130	Sap130	NM_172965			Sap130			NA
Interval_3688	chr19	5923999	5925107	+	0	NA	intron (Cdc42ep2, intron 1 of 1)	-intron (Cdc42ep2, intron 1 of 1)	263	Cdc42ep2	Cdc42ep2	NM_026772			Cdc42ep2			NA
Interval_1712	chr18	50242264	50242505	+	0	NA	Intergenic	Intergenic	-35985	Fam170a	Fam170a	NM_001004061			Fam170a			NA
Interval_52	chr18	4375367	4376192	+	0	NA	intron (Mtpap, intron 1 of 8)	-intron (Mtpap, intron 1 of 8)	187	Mtpap	Mtpap	NM_001361008			Mtpap			NA
Interval_867	chr18	25685045	25685360	+	0	NA	intron (Celf4, intron 1 of 13)	-intron (Celf4, intron 1 of 12)	68955	Celf4	Celf4	NM_001362278			Celf4			NA
Interval_5725	chr19	50439694	50440420	+	0	NA	intron (Sorcs1, intron 2 of 25)	-intron (Sorcs1, intron 2 of 25)	238589	Sorcs1	Sorcs1	NM_001360457			Sorcs1			NA
Interval_2273	chr18	64010027	64010388	+	0	NA	Intergenic	Intergenic	-244152	St8sia3	St8sia3	NM_009182			St8sia3			NA
Interval_2283	chr18	64447367	64447927	+	0	NA	Intergenic	Intergenic	41451	Fech	Fech	NM_001348055			Fech			NA
Interval_4287	chr19	18573563	18574017	+	0	NA	Intergenic	Intergenic	58023	Ostf1	Ostf1	NM_017375			Ostf1			NA
Interval_5415	chr19	44750444	44751171	+	0	NA	intron (Pax2, intron 1 of 10)	-intron (Pax2, intron 1 of 10)	-6099	Pax2	Pax2	NM_001368747			Pax2			NA
Interval_2157	chr18	61619293	61619913	+	0	NA	Intergenic	Intergenic	-20050	Bvht	Bvht	NR_045420			Bvht			NA
Interval_4528	chr19	25102057	25102349	+	0	NA	intron (Dock8, intron 14 of 47)	-intron (Dock8, intron 14 of 47)	102674	Dock8	Dock8	NM_028785			Dock8			NA
Interval_1886	chr18	55623483	55624650	+	0	NA	Intergenic	Intergenic	-633886	Zfp608	Zfp608	NM_001360787			Zfp608			NA
Interval_1548	chr18	46152234	46153308	+	0	NA	Intergenic	Intergenic	59836	Trim36	Trim36	NM_178872			Trim36			NA
Interval_2023	chr18	59078062	59078338	+	0	NA	Intergenic	Intergenic	15819	Minar2	Minar2	NM_173759			Minar2			NA
Interval_5700	chr19	48756995	48757244	+	0	NA	intron (Sorcs3, intron 16 of 26)	-intron (Sorcs3, intron 16 of 26)	551094	Sorcs3	Sorcs3	NM_025696			Sorcs3			NA
Interval_4332	chr19	20434197	20434778	+	0	NA	Intergenic	Intergenic	29199	1500015L24Rik	1500015L24Rik	NR_045817			1500015L24Rik			NA
Interval_3549	chr19	4420246	4420539	+	0	NA	Intergenic	Intergenic	-18931	A930001C03Rik	A930001C03Rik	NR_045989			A930001C03Rik			NA
Interval_2280	chr18	64339355	64340478	+	0	NA	promoter-TSS (Onecut2)	-promoter-TSS (Onecut2)	-448	Onecut2	Onecut2	NM_194268			Onecut2			NA
Interval_5120	chr19	40240951	40241471	+	0	NA	intron (Pdlim1, intron 4 of 6)	-intron (Pdlim1, intron 4 of 6)	30405	Pdlim1	Pdlim1	NM_016861			Pdlim1			NA
Interval_26	chr18	3989840	3990212	+	0	NA	Intergenic	Intergenic	-175806	Lyzl1	Lyzl1	NM_026092			Lyzl1			NA
Interval_5839	chr19	53726061	53726683	+	0	NA	intron (Rbm20, intron 1 of 13)	-intron (Rbm20, intron 1 of 13)	49066	Rbm20	Rbm20	NM_001170847			Rbm20			NA
Interval_3594	chr19	4942466	4943487	+	0	NA	exon (Peli3, exon 1 of 7)	-exon (Peli3, exon 1 of 7)	116	Peli3	Peli3	NM_172835			Peli3			NA
Interval_2138	chr18	61397745	61398241	+	0	NA	promoter-TSS (Mir378a)	-promoter-TSS (Mir378a)	-93	Mir378a	Mir378a	NR_029879			Mir378a			NA
Interval_716	chr18	22753913	22754386	+	0	NA	intron (Nol4, intron 7 of 9)	-intron (Nol4, intron 8 of 10)	287532	Nol4	Nol4	NM_001361223			Nol4			NA
Interval_1306	chr18	38348502	38349014	+	0	NA	Intergenic	Intergenic	-9765	Gnpda1	Gnpda1	NM_011937			Gnpda1			NA
Interval_2844	chr18	75578443	75578807	+	0	NA	intron (Ctif, intron 6 of 11)	-intron (Ctif, intron 6 of 11)	63980	Gm10532	Gm10532	NR_045879			Gm10532			NA
Interval_202	chr18	7502126	7503003	+	0	NA	intron (Mpp7, intron 4 of 17)	-intron (Mpp7, intron 3 of 16)	105590	Mpp7	Mpp7	NM_001081287			Mpp7			NA
Interval_3327	chr18	84804512	84804876	+	0	NA	intron (Gm17266, intron 11 of 12)	-intron (Gm17266, intron 11 of 12)	33947	Gm17266	Gm17266	NM_001370919			Gm17266			NA
Interval_1116	chr18	35079964	35080208	+	0	NA	Intergenic	Intergenic	-38826	Ctnna1	Ctnna1	NM_009818			Ctnna1			NA
Interval_5015	chr19	37026081	37026804	+	0	NA	intron (Cpeb3, intron 10 of 10)	-intron (Cpeb3, intron 10 of 10)	100363	Btaf1	Btaf1	NM_001080706			Btaf1			NA
Interval_5007	chr19	36918428	36919788	+	0	NA	exon (Fgfbp3, exon 2 of 2)	-exon (Fgfbp3, exon 2 of 2)	491	Fgfbp3	Fgfbp3	NM_028263			Fgfbp3			NA
Interval_5503	chr19	45812097	45812749	+	0	NA	promoter-TSS (Kcnip2)	-promoter-TSS (Kcnip2)	3640	Kcnip2	Kcnip2	NM_030716			Kcnip2			NA
Interval_3159	chr18	82418741	82419148	+	0	NA	Intergenic	Intergenic	-12167	Galr1	Galr1	NM_008082			Galr1			NA
Interval_3700	chr19	6003872	6004138	+	0	NA	intron (Capn1, intron 10 of 21)	-intron (Capn1, intron 10 of 21)	-8615	Gm10814	Gm10814	NR_045783			Gm10814			NA
Interval_5586	chr19	46863346	46863834	+	0	NA	intron (Cnnm2, intron 4 of 7)	-intron (Cnnm2, intron 4 of 6)	98761	Nt5c2	Nt5c2	NR_028353			Nt5c2			NA
Interval_3750	chr19	6489109	6489563	+	0	NA	intron (Nrxn2, intron 12 of 22)	-intron (Nrxn2, intron 12 of 22)	53734	Slc22a12	Slc22a12	NM_009203			Slc22a12			NA
Interval_3848	chr19	7633616	7633976	+	0	NA	intron (Plaat5, intron 4 of 5)	-intron (Plaat5, intron 4 of 5)	21259	Plaat5	Plaat5	NM_001368696			Plaat5			NA
Interval_1260	chr18	37841208	37842992	+	0	NA	TTS (Gm37013)	-TTS (Gm37013)	12560	Mir6979	Mir6979	NR_105945			Mir6979			NA
Interval_4457	chr19	23948621	23948866	+	0	NA	exon (Apba1, exon 13 of 13)	-exon (Apba1, exon 13 of 13)	82276	Fam189a2	Fam189a2	NM_001114174			Fam189a2			NA
Interval_2101	chr18	61025412	61025996	+	0	NA	intron (Cdx1, intron 1 of 2)	-intron (Cdx1, intron 1 of 2)	10495	Cdx1	Cdx1	NM_009880			Cdx1			NA
Interval_787	chr18	24246223	24246919	+	0	NA	intron (Galnt1, intron 4 of 12)	-intron (Galnt1, intron 4 of 12)	41227	Galnt1	Galnt1	NM_001160404			Galnt1			NA
Interval_4359	chr19	21252741	21253013	+	0	NA	Intergenic	Intergenic	-19401	Zfand5	Zfand5	NM_009551			Zfand5			NA
Interval_5311	chr19	43530206	43530856	+	0	NA	Intergenic	Intergenic	-5926	Got1	Got1	NM_010324			Got1			NA
Interval_4363	chr19	21373259	21373776	+	0	NA	Intergenic	Intergenic	99144	Gda	Gda	NM_010266			Gda			NA
Interval_2233	chr18	62906239	62906701	+	0	NA	Intergenic	Intergenic	-15857	Apcdd1	Apcdd1	NM_133237			Apcdd1			NA
Interval_921	chr18	30504175	30504957	+	0	NA	Intergenic	Intergenic	231701	Pik3c3	Pik3c3	NR_151699			Pik3c3			NA
Interval_5397	chr19	44640056	44640602	+	0	NA	Intergenic	Intergenic	77475	Hif1an	Hif1an	NM_176958			Hif1an			NA
Interval_3209	chr18	82854837	82856622	+	0	NA	promoter-TSS (4930445N18Rik)	-promoter-TSS (4930445N18Rik)	-168	4930445N18Rik	4930445N18Rik	NR_125720			4930445N18Rik			NA
Interval_3017	chr18	78669128	78669759	+	0	NA	Intergenic	Intergenic	-72493	Slc14a2	Slc14a2	NM_001110273			Slc14a2			NA
Interval_3945	chr19	10025364	10026036	+	0	NA	intron (Rab3il1, intron 1 of 10)	-intron (Rab3il1, intron 4 of 12)	7506	Rab3il1	Rab3il1	NM_144538			Rab3il1			NA
Interval_5561	chr19	46553468	46554101	+	0	NA	intron (Arl3, intron 2 of 5)	-intron (Arl3, intron 2 of 6)	19398	Arl3	Arl3	NM_001355233			Arl3			NA
Interval_1203	chr18	36400601	36400868	+	0	NA	intron (Cystm1, intron 2 of 2)	-intron (Cystm1, intron 2 of 2)	51961	Cystm1	Cystm1	NM_001081365			Cystm1			NA
Interval_2390	chr18	66076528	66077194	+	0	NA	intron (Ccbe1, intron 5 of 10)	-intron (Ccbe1, intron 5 of 10)	-74226	Lman1	Lman1	NM_027400			Lman1			NA
Interval_4081	chr19	12009496	12009830	+	0	NA	Intergenic	Intergenic	27077	Olfr1423	Olfr1423	NM_146680			Olfr1423			NA
Interval_5591	chr19	46900617	46901333	+	0	NA	intron (Nt5c2, intron 6 of 18)	-intron (Nt5c2, intron 5 of 17)	61376	Nt5c2	Nt5c2	NR_028353			Nt5c2			NA
Interval_545	chr18	15951085	15952800	+	0	NA	Intergenic	Intergenic	-191785	Chst9	Chst9	NM_199055			Chst9			NA
Interval_4778	chr19	31104820	31105167	+	0	NA	intron (Prkg1, intron 3 of 17)	-intron (Prkg1, intron 3 of 17)	22152	Cstf2t	Cstf2t	NM_031249			Cstf2t			NA
Interval_4840	chr19	32349142	32349544	+	0	NA	promoter-TSS (Sgms1)	-promoter-TSS (Sgms1)	39169	Sgms1	Sgms1	NM_001168526			Sgms1			NA
Interval_3160	chr18	82461943	82462637	+	0	NA	Intergenic	Intergenic	-12833	Mbp	Mbp	NM_001025245			Mbp			NA
Interval_3538	chr19	4261190	4261580	+	0	NA	TTS (Ssh3)	-TTS (Ssh3)	2493	Mir6985	Mir6985	NR_105951			Mir6985			NA
Interval_1923	chr18	56774148	56774718	+	0	NA	TTS (Marchf3)	-TTS (Marchf3)	66620	Lmnb1	Lmnb1	NM_010721			Lmnb1			NA
Interval_547	chr18	16037885	16038673	+	0	NA	Intergenic	Intergenic	-278122	Chst9	Chst9	NM_199055			Chst9			NA
Interval_750	chr18	23820880	23821187	+	0	NA	intron (Mapre2, intron 1 of 6)	-intron (Mapre2, intron 2 of 7)	17063	Mapre2	Mapre2	NM_153058			Mapre2			NA
Interval_3784	chr19	7017802	7019708	+	0	NA	exon (Fermt3, exon 2 of 15)	-exon (Fermt3, exon 2 of 15)	714	Fermt3	Fermt3	NM_001362399			Fermt3			NA
Interval_4731	chr19	29902692	29902986	+	0	NA	Intergenic	Intergenic	-22274	Il33	Il33	NM_001360725			Il33			NA
Interval_5627	chr19	47330685	47331423	+	0	NA	intron (Sh3pxd2a, intron 6 of 14)	-intron (Sh3pxd2a, intron 6 of 13)	-57465	Mir6995	Mir6995	NR_105961			Mir6995			NA
Interval_6006	chr19	56339596	56339833	+	0	NA	intron (Nrap, intron 30 of 40)	-intron (Nrap, intron 29 of 39)	50324	Nrap	Nrap	NM_198059			Nrap			NA
Interval_2103	chr18	61039563	61039993	+	0	NA	Intergenic	Intergenic	-3579	Cdx1	Cdx1	NM_009880			Cdx1			NA
Interval_3655	chr19	5713723	5714147	+	0	NA	intron (Ehbp1l1, intron 12 of 18)	-intron (Ehbp1l1, intron 11 of 17)	9464	Kcnk7	Kcnk7	NM_010609			Kcnk7			NA
Interval_785	chr18	24205193	24206629	+	0	NA	promoter-TSS (Galnt1)	-promoter-TSS (Galnt1)	567	Galnt1	Galnt1	NM_001160404			Galnt1			NA
Interval_4594	chr19	26814754	26815130	+	0	NA	intron (4931403E22Rik, intron 1 of 3)	-intron (4931403E22Rik, intron 1 of 3)	8965	4931403E22Rik	4931403E22Rik	NR_045306			4931403E22Rik			NA
Interval_3341	chr18	84895282	84895635	+	0	NA	Intergenic	Intergenic	-39567	Fbxo15	Fbxo15	NM_001367965			Fbxo15			NA
Interval_3492	chr19	3912449	3913422	+	0	NA	promoter-TSS (Ndufs8)	-promoter-TSS (Ndufs8)	-161	Ndufs8	Ndufs8	NM_001271443			Ndufs8			NA
Interval_5295	chr19	42936816	42937158	+	0	NA	intron (Hpse2, intron 6 of 11)	-intron (Hpse2, intron 6 of 11)	-157009	Hps1	Hps1	NM_001346703			Hps1			NA
Interval_5996	chr19	56189067	56189535	+	0	NA	Intergenic	Intergenic	-98611	Habp2	Habp2	NM_001329935			Habp2			NA
Interval_5678	chr19	47997699	47998027	+	0	NA	intron (Cfap58, intron 15 of 17)	-intron (Cfap58, intron 15 of 17)	60151	Cfap58	Cfap58	NM_001163267			Cfap58			NA
